Reading 5 bytes:
Reading at malicious_x = 0xffffffffffffdf88... miss : mix_i=13 , time=1221
miss : mix_i=89 , time=170
miss : mix_i=0 , time=622
miss : mix_i=167 , time=170
miss : mix_i=78 , time=170
miss : mix_i=245 , time=170
miss : mix_i=156 , time=170
miss : mix_i=67 , time=170
miss : mix_i=234 , time=170
miss : mix_i=145 , time=1218
miss : mix_i=56 , time=657
miss : mix_i=223 , time=170
miss : mix_i=134 , time=170
miss : mix_i=45 , time=170
miss : mix_i=212 , time=170
miss : mix_i=123 , time=170
miss : mix_i=34 , time=170
miss : mix_i=201 , time=170
miss : mix_i=112 , time=170
miss : mix_i=23 , time=1218
miss : mix_i=190 , time=1218
miss : mix_i=101 , time=170
miss : mix_i=12 , time=170
miss : mix_i=179 , time=170
miss : mix_i=90 , time=170
miss : mix_i=1 , time=170
miss : mix_i=168 , time=170
miss : mix_i=79 , time=664
miss : mix_i=246 , time=170
miss : mix_i=157 , time=170
miss : mix_i=68 , time=1218
miss : mix_i=235 , time=170
miss : mix_i=146 , time=170
miss : mix_i=57 , time=170
miss : mix_i=224 , time=170
miss : mix_i=135 , time=170
miss : mix_i=46 , time=170
miss : mix_i=213 , time=170
miss : mix_i=124 , time=170
miss : mix_i=35 , time=170
miss : mix_i=202 , time=1218
miss : mix_i=113 , time=170
miss : mix_i=24 , time=170
miss : mix_i=191 , time=170
miss : mix_i=102 , time=170
miss : mix_i=13 , time=1220
miss : mix_i=180 , time=170
miss : mix_i=91 , time=170
miss : mix_i=2 , time=1218
miss : mix_i=169 , time=170
miss : mix_i=80 , time=170
miss : mix_i=247 , time=170
miss : mix_i=158 , time=170
miss : mix_i=69 , time=481
miss : mix_i=236 , time=170
miss : mix_i=147 , time=170
miss : mix_i=58 , time=170
miss : mix_i=225 , time=170
miss : mix_i=136 , time=1218
miss : mix_i=47 , time=170
miss : mix_i=214 , time=170
miss : mix_i=125 , time=670
miss : mix_i=36 , time=170
miss : mix_i=203 , time=170
miss : mix_i=114 , time=170
miss : mix_i=25 , time=170
miss : mix_i=192 , time=170
miss : mix_i=103 , time=170
miss : mix_i=14 , time=1218
miss : mix_i=181 , time=669
miss : mix_i=92 , time=170
miss : mix_i=3 , time=170
miss : mix_i=170 , time=170
miss : mix_i=81 , time=170
miss : mix_i=248 , time=170
miss : mix_i=159 , time=170
miss : mix_i=70 , time=170
miss : mix_i=237 , time=170
miss : mix_i=148 , time=1218
miss : mix_i=59 , time=1218
miss : mix_i=226 , time=170
miss : mix_i=137 , time=170
miss : mix_i=48 , time=170
miss : mix_i=215 , time=170
miss : mix_i=126 , time=170
miss : mix_i=37 , time=170
miss : mix_i=204 , time=640
miss : mix_i=115 , time=170
miss : mix_i=26 , time=170
miss : mix_i=193 , time=1218
miss : mix_i=104 , time=170
miss : mix_i=15 , time=170
miss : mix_i=182 , time=170
miss : mix_i=93 , time=170
miss : mix_i=4 , time=674
miss : mix_i=171 , time=170
miss : mix_i=82 , time=170
miss : mix_i=249 , time=170
miss : mix_i=160 , time=170
miss : mix_i=71 , time=1218
miss : mix_i=238 , time=170
miss : mix_i=149 , time=170
miss : mix_i=60 , time=695
miss : mix_i=227 , time=170
miss : mix_i=138 , time=170
miss : mix_i=49 , time=170
miss : mix_i=216 , time=170
miss : mix_i=127 , time=170
miss : mix_i=38 , time=170
miss : mix_i=205 , time=1218
miss : mix_i=116 , time=633
miss : mix_i=27 , time=170
miss : mix_i=194 , time=170
miss : mix_i=105 , time=170
miss : mix_i=16 , time=170
miss : mix_i=183 , time=170
miss : mix_i=94 , time=170
miss : mix_i=5 , time=170
miss : mix_i=172 , time=170
miss : mix_i=83 , time=1218
miss : mix_i=250 , time=1218
miss : mix_i=161 , time=170
miss : mix_i=72 , time=170
miss : mix_i=239 , time=170
miss : mix_i=150 , time=170
miss : mix_i=61 , time=170
miss : mix_i=228 , time=170
miss : mix_i=139 , time=644
miss : mix_i=50 , time=170
miss : mix_i=217 , time=170
miss : mix_i=128 , time=1218
miss : mix_i=39 , time=170
miss : mix_i=206 , time=170
miss : mix_i=117 , time=170
miss : mix_i=28 , time=170
miss : mix_i=195 , time=639
miss : mix_i=106 , time=170
miss : mix_i=17 , time=170
miss : mix_i=184 , time=170
miss : mix_i=95 , time=170
miss : mix_i=6 , time=1218
miss : mix_i=173 , time=170
miss : mix_i=84 , time=170
miss : mix_i=251 , time=638
miss : mix_i=162 , time=170
miss : mix_i=73 , time=170
miss : mix_i=240 , time=170
miss : mix_i=151 , time=170
miss : mix_i=62 , time=170
miss : mix_i=229 , time=170
miss : mix_i=140 , time=1218
miss : mix_i=51 , time=581
miss : mix_i=218 , time=170
miss : mix_i=129 , time=170
miss : mix_i=40 , time=170
miss : mix_i=207 , time=170
miss : mix_i=118 , time=170
miss : mix_i=29 , time=170
miss : mix_i=196 , time=170
miss : mix_i=107 , time=170
miss : mix_i=18 , time=1218
miss : mix_i=185 , time=1218
miss : mix_i=96 , time=170
miss : mix_i=7 , time=170
miss : mix_i=174 , time=170
miss : mix_i=85 , time=170
miss : mix_i=252 , time=170
miss : mix_i=163 , time=170
miss : mix_i=74 , time=671
miss : mix_i=241 , time=170
miss : mix_i=152 , time=170
miss : mix_i=63 , time=1218
miss : mix_i=230 , time=170
miss : mix_i=141 , time=170
miss : mix_i=52 , time=170
miss : mix_i=219 , time=170
miss : mix_i=130 , time=633
miss : mix_i=41 , time=170
miss : mix_i=208 , time=170
miss : mix_i=119 , time=170
miss : mix_i=30 , time=170
miss : mix_i=197 , time=1218
miss : mix_i=108 , time=170
miss : mix_i=19 , time=170
miss : mix_i=186 , time=633
miss : mix_i=97 , time=170
miss : mix_i=8 , time=170
miss : mix_i=175 , time=170
miss : mix_i=86 , time=170
miss : mix_i=253 , time=170
miss : mix_i=164 , time=170
miss : mix_i=75 , time=1218
miss : mix_i=242 , time=170
miss : mix_i=153 , time=170
miss : mix_i=64 , time=170
miss : mix_i=231 , time=170
miss : mix_i=142 , time=170
miss : mix_i=53 , time=170
miss : mix_i=220 , time=170
miss : mix_i=131 , time=170
miss : mix_i=42 , time=170
miss : mix_i=209 , time=1218
miss : mix_i=120 , time=1218
miss : mix_i=31 , time=170
miss : mix_i=198 , time=170
miss : mix_i=109 , time=170
miss : mix_i=20 , time=170
miss : mix_i=187 , time=170
miss : mix_i=98 , time=170
mix_i = array1[tries % array1_size] : mix_i=9 , time=43
miss : mix_i=176 , time=173
miss : mix_i=87 , time=1218
miss : mix_i=254 , time=1218
miss : mix_i=165 , time=170
miss : mix_i=76 , time=170
miss : mix_i=243 , time=170
miss : mix_i=154 , time=170
miss : mix_i=65 , time=170
miss : mix_i=232 , time=170
miss : mix_i=143 , time=579
miss : mix_i=54 , time=170
miss : mix_i=221 , time=170
miss : mix_i=132 , time=1218
miss : mix_i=43 , time=170
miss : mix_i=210 , time=170
miss : mix_i=121 , time=170
miss : mix_i=32 , time=170
miss : mix_i=199 , time=650
miss : mix_i=110 , time=170
miss : mix_i=21 , time=170
miss : mix_i=188 , time=170
miss : mix_i=99 , time=170
miss : mix_i=10 , time=1218
miss : mix_i=177 , time=170
miss : mix_i=88 , time=170
miss : mix_i=255 , time=683
miss : mix_i=166 , time=170
miss : mix_i=77 , time=170
miss : mix_i=244 , time=170
miss : mix_i=155 , time=170
miss : mix_i=66 , time=170
miss : mix_i=233 , time=170
miss : mix_i=144 , time=1218
miss : mix_i=55 , time=631
miss : mix_i=222 , time=170
miss : mix_i=133 , time=170
miss : mix_i=44 , time=170
miss : mix_i=211 , time=170
miss : mix_i=122 , time=170
miss : mix_i=33 , time=170
miss : mix_i=200 , time=170
miss : mix_i=111 , time=170
miss : mix_i=22 , time=1218
miss : mix_i=189 , time=1218
miss : mix_i=100 , time=170
miss : mix_i=11 , time=170
miss : mix_i=178 , time=170
miss : mix_i=89 , time=170
miss : mix_i=0 , time=170
miss : mix_i=167 , time=170
miss : mix_i=78 , time=574
miss : mix_i=245 , time=170
miss : mix_i=156 , time=170
miss : mix_i=67 , time=1218
miss : mix_i=234 , time=170
miss : mix_i=145 , time=170
miss : mix_i=56 , time=170
miss : mix_i=223 , time=170
miss : mix_i=134 , time=609
miss : mix_i=45 , time=170
miss : mix_i=212 , time=170
miss : mix_i=123 , time=170
miss : mix_i=34 , time=170
miss : mix_i=201 , time=1218
miss : mix_i=112 , time=170
miss : mix_i=23 , time=170
miss : mix_i=190 , time=611
miss : mix_i=101 , time=170
miss : mix_i=12 , time=170
miss : mix_i=179 , time=170
miss : mix_i=90 , time=170
miss : mix_i=1 , time=170
miss : mix_i=168 , time=170
miss : mix_i=79 , time=1218
miss : mix_i=246 , time=664
miss : mix_i=157 , time=170
miss : mix_i=68 , time=170
miss : mix_i=235 , time=170
miss : mix_i=146 , time=170
miss : mix_i=57 , time=170
miss : mix_i=224 , time=170
miss : mix_i=135 , time=170
miss : mix_i=46 , time=170
miss : mix_i=213 , time=1218
miss : mix_i=124 , time=1218
miss : mix_i=35 , time=170
miss : mix_i=202 , time=170
miss : mix_i=113 , time=170
miss : mix_i=24 , time=170
miss : mix_i=191 , time=170
miss : mix_i=102 , time=170
miss : mix_i=13 , time=1220
miss : mix_i=180 , time=170
miss : mix_i=91 , time=170
miss : mix_i=2 , time=1218
miss : mix_i=169 , time=170
miss : mix_i=80 , time=170
miss : mix_i=247 , time=170
miss : mix_i=158 , time=170
miss : mix_i=69 , time=541
miss : mix_i=236 , time=170
miss : mix_i=147 , time=170
miss : mix_i=58 , time=170
miss : mix_i=225 , time=170
miss : mix_i=136 , time=1218
miss : mix_i=47 , time=170
miss : mix_i=214 , time=170
miss : mix_i=125 , time=617
miss : mix_i=36 , time=170
miss : mix_i=203 , time=170
miss : mix_i=114 , time=170
miss : mix_i=25 , time=170
miss : mix_i=192 , time=170
miss : mix_i=103 , time=170
miss : mix_i=14 , time=1218
miss : mix_i=181 , time=665
miss : mix_i=92 , time=170
miss : mix_i=3 , time=170
miss : mix_i=170 , time=170
miss : mix_i=81 , time=170
miss : mix_i=248 , time=170
miss : mix_i=159 , time=170
miss : mix_i=70 , time=170
miss : mix_i=237 , time=170
miss : mix_i=148 , time=1218
miss : mix_i=59 , time=1218
miss : mix_i=226 , time=170
miss : mix_i=137 , time=170
miss : mix_i=48 , time=170
miss : mix_i=215 , time=170
miss : mix_i=126 , time=170
miss : mix_i=37 , time=170
miss : mix_i=204 , time=624
miss : mix_i=115 , time=170
miss : mix_i=26 , time=170
miss : mix_i=193 , time=1218
miss : mix_i=104 , time=170
miss : mix_i=15 , time=170
miss : mix_i=182 , time=170
miss : mix_i=93 , time=170
miss : mix_i=4 , time=611
miss : mix_i=171 , time=170
miss : mix_i=82 , time=170
miss : mix_i=249 , time=170
miss : mix_i=160 , time=170
miss : mix_i=71 , time=1218
miss : mix_i=238 , time=170
miss : mix_i=149 , time=170
miss : mix_i=60 , time=607
miss : mix_i=227 , time=170
miss : mix_i=138 , time=170
miss : mix_i=49 , time=170
miss : mix_i=216 , time=170
miss : mix_i=127 , time=170
miss : mix_i=38 , time=170
miss : mix_i=205 , time=1218
miss : mix_i=116 , time=699
miss : mix_i=27 , time=170
miss : mix_i=194 , time=170
miss : mix_i=105 , time=170
miss : mix_i=16 , time=170
miss : mix_i=183 , time=170
miss : mix_i=94 , time=170
miss : mix_i=5 , time=170
miss : mix_i=172 , time=170
miss : mix_i=83 , time=1218
miss : mix_i=250 , time=1218
miss : mix_i=161 , time=170
miss : mix_i=72 , time=170
miss : mix_i=239 , time=170
miss : mix_i=150 , time=173
miss : mix_i=61 , time=170
miss : mix_i=228 , time=170
miss : mix_i=139 , time=612
miss : mix_i=50 , time=170
miss : mix_i=217 , time=170
miss : mix_i=128 , time=1218
miss : mix_i=39 , time=170
miss : mix_i=206 , time=170
miss : mix_i=117 , time=170
miss : mix_i=28 , time=170
miss : mix_i=195 , time=543
miss : mix_i=106 , time=170
miss : mix_i=17 , time=170
miss : mix_i=184 , time=170
miss : mix_i=95 , time=170
miss : mix_i=6 , time=1218
miss : mix_i=173 , time=170
miss : mix_i=84 , time=170
miss : mix_i=251 , time=634
miss : mix_i=162 , time=170
miss : mix_i=73 , time=170
miss : mix_i=240 , time=170
miss : mix_i=151 , time=170
miss : mix_i=62 , time=170
miss : mix_i=229 , time=170
miss : mix_i=140 , time=1218
miss : mix_i=51 , time=650
miss : mix_i=218 , time=170
miss : mix_i=129 , time=170
miss : mix_i=40 , time=170
miss : mix_i=207 , time=170
miss : mix_i=118 , time=170
miss : mix_i=29 , time=170
miss : mix_i=196 , time=170
miss : mix_i=107 , time=170
miss : mix_i=18 , time=1218
miss : mix_i=185 , time=1218
miss : mix_i=96 , time=170
miss : mix_i=7 , time=170
miss : mix_i=174 , time=170
miss : mix_i=85 , time=170
miss : mix_i=252 , time=170
miss : mix_i=163 , time=170
miss : mix_i=74 , time=564
miss : mix_i=241 , time=170
miss : mix_i=152 , time=170
miss : mix_i=63 , time=1218
miss : mix_i=230 , time=170
miss : mix_i=141 , time=170
miss : mix_i=52 , time=170
miss : mix_i=219 , time=170
miss : mix_i=130 , time=612
miss : mix_i=41 , time=170
miss : mix_i=208 , time=170
miss : mix_i=119 , time=170
miss : mix_i=30 , time=170
miss : mix_i=197 , time=1218
miss : mix_i=108 , time=170
miss : mix_i=19 , time=170
miss : mix_i=186 , time=624
miss : mix_i=97 , time=170
mix_i = array1[tries % array1_size] : mix_i=8 , time=43
miss : mix_i=175 , time=173
miss : mix_i=86 , time=170
miss : mix_i=253 , time=170
miss : mix_i=164 , time=170
miss : mix_i=75 , time=1218
miss : mix_i=242 , time=393
miss : mix_i=153 , time=170
miss : mix_i=64 , time=170
miss : mix_i=231 , time=170
miss : mix_i=142 , time=170
miss : mix_i=53 , time=170
miss : mix_i=220 , time=170
miss : mix_i=131 , time=170
miss : mix_i=42 , time=170
miss : mix_i=209 , time=1218
miss : mix_i=120 , time=1218
miss : mix_i=31 , time=170
miss : mix_i=198 , time=170
miss : mix_i=109 , time=170
miss : mix_i=20 , time=170
miss : mix_i=187 , time=170
miss : mix_i=98 , time=170
miss : mix_i=9 , time=670
miss : mix_i=176 , time=170
miss : mix_i=87 , time=170
miss : mix_i=254 , time=1218
miss : mix_i=165 , time=170
miss : mix_i=76 , time=170
miss : mix_i=243 , time=170
miss : mix_i=154 , time=170
miss : mix_i=65 , time=562
miss : mix_i=232 , time=170
miss : mix_i=143 , time=170
miss : mix_i=54 , time=170
miss : mix_i=221 , time=170
miss : mix_i=132 , time=1218
miss : mix_i=43 , time=170
miss : mix_i=210 , time=170
miss : mix_i=121 , time=567
miss : mix_i=32 , time=170
miss : mix_i=199 , time=170
miss : mix_i=110 , time=170
miss : mix_i=21 , time=170
miss : mix_i=188 , time=170
miss : mix_i=99 , time=170
miss : mix_i=10 , time=1218
miss : mix_i=177 , time=624
miss : mix_i=88 , time=170
miss : mix_i=255 , time=170
miss : mix_i=166 , time=170
miss : mix_i=77 , time=170
miss : mix_i=244 , time=172
miss : mix_i=155 , time=170
miss : mix_i=66 , time=493
miss : mix_i=233 , time=595
miss : mix_i=144 , time=170
miss : mix_i=55 , time=170
miss : mix_i=222 , time=170
miss : mix_i=133 , time=170
miss : mix_i=44 , time=170
miss : mix_i=211 , time=170
miss : mix_i=122 , time=170
miss : mix_i=33 , time=170
miss : mix_i=200 , time=1218
miss : mix_i=111 , time=1218
miss : mix_i=22 , time=170
miss : mix_i=189 , time=170
miss : mix_i=100 , time=170
miss : mix_i=11 , time=170
miss : mix_i=178 , time=170
miss : mix_i=89 , time=170
miss : mix_i=0 , time=618
miss : mix_i=167 , time=170
miss : mix_i=78 , time=170
miss : mix_i=245 , time=1218
miss : mix_i=156 , time=170
miss : mix_i=67 , time=170
miss : mix_i=234 , time=170
miss : mix_i=145 , time=170
miss : mix_i=56 , time=504
miss : mix_i=223 , time=170
miss : mix_i=134 , time=170
miss : mix_i=45 , time=170
miss : mix_i=212 , time=170
miss : mix_i=123 , time=1218
miss : mix_i=34 , time=170
miss : mix_i=201 , time=170
miss : mix_i=112 , time=644
miss : mix_i=23 , time=170
miss : mix_i=190 , time=170
miss : mix_i=101 , time=170
miss : mix_i=12 , time=170
miss : mix_i=179 , time=170
miss : mix_i=90 , time=170
miss : mix_i=1 , time=1218
miss : mix_i=168 , time=669
miss : mix_i=79 , time=170
miss : mix_i=246 , time=170
miss : mix_i=157 , time=170
miss : mix_i=68 , time=170
miss : mix_i=235 , time=170
miss : mix_i=146 , time=170
miss : mix_i=57 , time=170
miss : mix_i=224 , time=170
miss : mix_i=135 , time=1218
miss : mix_i=46 , time=1218
miss : mix_i=213 , time=170
miss : mix_i=124 , time=170
miss : mix_i=35 , time=170
miss : mix_i=202 , time=170
miss : mix_i=113 , time=170
miss : mix_i=24 , time=170
miss : mix_i=191 , time=696
miss : mix_i=102 , time=170
miss : mix_i=13 , time=1220
miss : mix_i=180 , time=170
miss : mix_i=91 , time=172
miss : mix_i=2 , time=1220
miss : mix_i=169 , time=170
miss : mix_i=80 , time=170
miss : mix_i=247 , time=170
miss : mix_i=158 , time=170
miss : mix_i=69 , time=350
miss : mix_i=236 , time=170
miss : mix_i=147 , time=170
miss : mix_i=58 , time=173
miss : mix_i=225 , time=170
miss : mix_i=136 , time=1218
miss : mix_i=47 , time=170
miss : mix_i=214 , time=170
miss : mix_i=125 , time=653
miss : mix_i=36 , time=170
miss : mix_i=203 , time=170
miss : mix_i=114 , time=170
miss : mix_i=25 , time=170
miss : mix_i=192 , time=170
miss : mix_i=103 , time=170
miss : mix_i=14 , time=1218
miss : mix_i=181 , time=627
miss : mix_i=92 , time=170
miss : mix_i=3 , time=170
miss : mix_i=170 , time=170
miss : mix_i=81 , time=170
miss : mix_i=248 , time=170
miss : mix_i=159 , time=170
miss : mix_i=70 , time=170
miss : mix_i=237 , time=170
miss : mix_i=148 , time=1218
miss : mix_i=59 , time=1218
miss : mix_i=226 , time=170
miss : mix_i=137 , time=170
miss : mix_i=48 , time=170
miss : mix_i=215 , time=170
miss : mix_i=126 , time=170
miss : mix_i=37 , time=170
miss : mix_i=204 , time=639
miss : mix_i=115 , time=170
miss : mix_i=26 , time=170
miss : mix_i=193 , time=1218
miss : mix_i=104 , time=170
miss : mix_i=15 , time=170
miss : mix_i=182 , time=170
miss : mix_i=93 , time=170
miss : mix_i=4 , time=613
miss : mix_i=171 , time=170
miss : mix_i=82 , time=170
miss : mix_i=249 , time=170
miss : mix_i=160 , time=170
miss : mix_i=71 , time=1218
miss : mix_i=238 , time=170
miss : mix_i=149 , time=170
miss : mix_i=60 , time=640
miss : mix_i=227 , time=170
miss : mix_i=138 , time=170
miss : mix_i=49 , time=170
miss : mix_i=216 , time=170
miss : mix_i=127 , time=170
miss : mix_i=38 , time=170
miss : mix_i=205 , time=1218
miss : mix_i=116 , time=662
miss : mix_i=27 , time=170
miss : mix_i=194 , time=170
miss : mix_i=105 , time=170
miss : mix_i=16 , time=170
miss : mix_i=183 , time=170
miss : mix_i=94 , time=170
miss : mix_i=5 , time=170
miss : mix_i=172 , time=170
miss : mix_i=83 , time=1218
miss : mix_i=250 , time=1218
miss : mix_i=161 , time=170
miss : mix_i=72 , time=170
miss : mix_i=239 , time=170
miss : mix_i=150 , time=170
miss : mix_i=61 , time=170
miss : mix_i=228 , time=170
miss : mix_i=139 , time=621
miss : mix_i=50 , time=170
miss : mix_i=217 , time=170
miss : mix_i=128 , time=1218
miss : mix_i=39 , time=170
miss : mix_i=206 , time=170
miss : mix_i=117 , time=170
miss : mix_i=28 , time=170
miss : mix_i=195 , time=607
miss : mix_i=106 , time=170
miss : mix_i=17 , time=170
miss : mix_i=184 , time=170
miss : mix_i=95 , time=170
miss : mix_i=6 , time=1218
miss : mix_i=173 , time=170
miss : mix_i=84 , time=170
miss : mix_i=251 , time=671
miss : mix_i=162 , time=170
miss : mix_i=73 , time=170
miss : mix_i=240 , time=170
miss : mix_i=151 , time=170
miss : mix_i=62 , time=170
miss : mix_i=229 , time=170
miss : mix_i=140 , time=1218
miss : mix_i=51 , time=632
miss : mix_i=218 , time=170
miss : mix_i=129 , time=170
miss : mix_i=40 , time=170
miss : mix_i=207 , time=170
miss : mix_i=118 , time=170
miss : mix_i=29 , time=170
miss : mix_i=196 , time=170
miss : mix_i=107 , time=170
miss : mix_i=18 , time=1218
miss : mix_i=185 , time=1218
miss : mix_i=96 , time=170
mix_i = array1[tries % array1_size] : mix_i=7 , time=43
miss : mix_i=174 , time=173
miss : mix_i=85 , time=170
miss : mix_i=252 , time=170
miss : mix_i=163 , time=170
miss : mix_i=74 , time=264
miss : mix_i=241 , time=170
miss : mix_i=152 , time=170
miss : mix_i=63 , time=1218
miss : mix_i=230 , time=170
miss : mix_i=141 , time=170
miss : mix_i=52 , time=170
miss : mix_i=219 , time=170
miss : mix_i=130 , time=636
miss : mix_i=41 , time=170
miss : mix_i=208 , time=170
miss : mix_i=119 , time=170
miss : mix_i=30 , time=170
miss : mix_i=197 , time=1218
miss : mix_i=108 , time=170
miss : mix_i=19 , time=170
miss : mix_i=186 , time=627
miss : mix_i=97 , time=170
miss : mix_i=8 , time=170
miss : mix_i=175 , time=170
miss : mix_i=86 , time=170
miss : mix_i=253 , time=170
miss : mix_i=164 , time=170
miss : mix_i=75 , time=1218
miss : mix_i=242 , time=673
miss : mix_i=153 , time=170
miss : mix_i=64 , time=170
miss : mix_i=231 , time=170
miss : mix_i=142 , time=170
miss : mix_i=53 , time=170
miss : mix_i=220 , time=170
miss : mix_i=131 , time=170
miss : mix_i=42 , time=170
miss : mix_i=209 , time=1218
miss : mix_i=120 , time=1218
miss : mix_i=31 , time=170
miss : mix_i=198 , time=170
miss : mix_i=109 , time=170
miss : mix_i=20 , time=170
miss : mix_i=187 , time=170
miss : mix_i=98 , time=170
miss : mix_i=9 , time=577
miss : mix_i=176 , time=170
miss : mix_i=87 , time=170
miss : mix_i=254 , time=1218
miss : mix_i=165 , time=170
miss : mix_i=76 , time=170
miss : mix_i=243 , time=170
miss : mix_i=154 , time=170
miss : mix_i=65 , time=682
miss : mix_i=232 , time=170
miss : mix_i=143 , time=170
miss : mix_i=54 , time=170
miss : mix_i=221 , time=170
miss : mix_i=132 , time=1218
miss : mix_i=43 , time=170
miss : mix_i=210 , time=170
miss : mix_i=121 , time=674
miss : mix_i=32 , time=170
miss : mix_i=199 , time=170
miss : mix_i=110 , time=170
miss : mix_i=21 , time=170
miss : mix_i=188 , time=170
miss : mix_i=99 , time=170
miss : mix_i=10 , time=1218
miss : mix_i=177 , time=623
miss : mix_i=88 , time=170
miss : mix_i=255 , time=170
miss : mix_i=166 , time=170
miss : mix_i=77 , time=170
miss : mix_i=244 , time=170
miss : mix_i=155 , time=170
miss : mix_i=66 , time=170
miss : mix_i=233 , time=170
miss : mix_i=144 , time=1218
miss : mix_i=55 , time=1218
miss : mix_i=222 , time=170
miss : mix_i=133 , time=170
miss : mix_i=44 , time=170
miss : mix_i=211 , time=170
miss : mix_i=122 , time=170
miss : mix_i=33 , time=170
miss : mix_i=200 , time=625
miss : mix_i=111 , time=170
miss : mix_i=22 , time=170
miss : mix_i=189 , time=1218
miss : mix_i=100 , time=170
miss : mix_i=11 , time=170
miss : mix_i=178 , time=170
miss : mix_i=89 , time=170
miss : mix_i=0 , time=645
miss : mix_i=167 , time=170
miss : mix_i=78 , time=170
miss : mix_i=245 , time=170
miss : mix_i=156 , time=170
miss : mix_i=67 , time=1218
miss : mix_i=234 , time=170
miss : mix_i=145 , time=170
miss : mix_i=56 , time=582
miss : mix_i=223 , time=170
miss : mix_i=134 , time=170
miss : mix_i=45 , time=170
miss : mix_i=212 , time=170
miss : mix_i=123 , time=170
miss : mix_i=34 , time=170
miss : mix_i=201 , time=1218
miss : mix_i=112 , time=653
miss : mix_i=23 , time=170
miss : mix_i=190 , time=170
miss : mix_i=101 , time=170
miss : mix_i=12 , time=170
miss : mix_i=179 , time=170
miss : mix_i=90 , time=170
miss : mix_i=1 , time=662
miss : mix_i=168 , time=669
miss : mix_i=79 , time=170
miss : mix_i=246 , time=170
miss : mix_i=157 , time=170
miss : mix_i=68 , time=172
miss : mix_i=235 , time=170
miss : mix_i=146 , time=170
miss : mix_i=57 , time=170
miss : mix_i=224 , time=170
miss : mix_i=135 , time=1218
miss : mix_i=46 , time=1218
miss : mix_i=213 , time=170
miss : mix_i=124 , time=170
miss : mix_i=35 , time=170
miss : mix_i=202 , time=170
miss : mix_i=113 , time=170
miss : mix_i=24 , time=170
miss : mix_i=191 , time=623
miss : mix_i=102 , time=170
miss : mix_i=13 , time=1220
miss : mix_i=180 , time=170
miss : mix_i=91 , time=170
miss : mix_i=2 , time=1218
miss : mix_i=169 , time=170
miss : mix_i=80 , time=170
miss : mix_i=247 , time=170
miss : mix_i=158 , time=170
miss : mix_i=69 , time=486
miss : mix_i=236 , time=170
miss : mix_i=147 , time=170
miss : mix_i=58 , time=170
miss : mix_i=225 , time=170
miss : mix_i=136 , time=1218
miss : mix_i=47 , time=170
miss : mix_i=214 , time=170
miss : mix_i=125 , time=633
miss : mix_i=36 , time=170
miss : mix_i=203 , time=170
miss : mix_i=114 , time=170
miss : mix_i=25 , time=170
miss : mix_i=192 , time=170
miss : mix_i=103 , time=170
miss : mix_i=14 , time=1218
miss : mix_i=181 , time=639
miss : mix_i=92 , time=170
miss : mix_i=3 , time=170
miss : mix_i=170 , time=170
miss : mix_i=81 , time=170
miss : mix_i=248 , time=170
miss : mix_i=159 , time=170
miss : mix_i=70 , time=170
miss : mix_i=237 , time=170
miss : mix_i=148 , time=1218
miss : mix_i=59 , time=1218
miss : mix_i=226 , time=170
miss : mix_i=137 , time=170
miss : mix_i=48 , time=170
miss : mix_i=215 , time=170
miss : mix_i=126 , time=170
miss : mix_i=37 , time=170
miss : mix_i=204 , time=649
miss : mix_i=115 , time=170
miss : mix_i=26 , time=170
miss : mix_i=193 , time=1218
miss : mix_i=104 , time=170
miss : mix_i=15 , time=170
miss : mix_i=182 , time=170
miss : mix_i=93 , time=170
miss : mix_i=4 , time=619
miss : mix_i=171 , time=170
miss : mix_i=82 , time=170
miss : mix_i=249 , time=170
miss : mix_i=160 , time=170
miss : mix_i=71 , time=1218
miss : mix_i=238 , time=170
miss : mix_i=149 , time=170
miss : mix_i=60 , time=622
miss : mix_i=227 , time=170
miss : mix_i=138 , time=170
miss : mix_i=49 , time=170
miss : mix_i=216 , time=170
miss : mix_i=127 , time=170
miss : mix_i=38 , time=170
miss : mix_i=205 , time=1218
miss : mix_i=116 , time=637
miss : mix_i=27 , time=170
miss : mix_i=194 , time=170
miss : mix_i=105 , time=170
miss : mix_i=16 , time=170
miss : mix_i=183 , time=170
miss : mix_i=94 , time=170
miss : mix_i=5 , time=170
miss : mix_i=172 , time=170
miss : mix_i=83 , time=1218
miss : mix_i=250 , time=1218
miss : mix_i=161 , time=170
miss : mix_i=72 , time=170
miss : mix_i=239 , time=170
miss : mix_i=150 , time=170
miss : mix_i=61 , time=170
miss : mix_i=228 , time=170
miss : mix_i=139 , time=652
miss : mix_i=50 , time=170
miss : mix_i=217 , time=170
miss : mix_i=128 , time=1218
miss : mix_i=39 , time=170
miss : mix_i=206 , time=170
miss : mix_i=117 , time=170
miss : mix_i=28 , time=170
miss : mix_i=195 , time=646
miss : mix_i=106 , time=170
miss : mix_i=17 , time=170
miss : mix_i=184 , time=170
miss : mix_i=95 , time=170
mix_i = array1[tries % array1_size] : mix_i=6 , time=35
miss : mix_i=173 , time=173
miss : mix_i=84 , time=1218
miss : mix_i=251 , time=429
miss : mix_i=162 , time=170
miss : mix_i=73 , time=170
miss : mix_i=240 , time=170
miss : mix_i=151 , time=170
miss : mix_i=62 , time=170
miss : mix_i=229 , time=170
miss : mix_i=140 , time=170
